id,dept,level,workload,employment_years,last_year_promo,last_year_violations,supervisor_evaluation,salary,quit
723290,sales,middle,high,2,no,no,4,54000,no
814010,sales,junior,medium,2,no,no,4,27600,no
155091,purchasing,middle,medium,5,no,no,1,37200,no
257132,sales,junior,medium,2,no,yes,3,24000,yes
910140,marketing,junior,medium,2,no,no,5,25200,no
699916,sales,junior,low,1,no,yes,3,18000,yes
417070,technology,middle,medium,8,no,no,2,44400,no
165489,sales,middle,low,4,no,no,5,19200,no
996399,marketing,middle,low,7,no,no,4,25200,no
613206,technology,middle,medium,2,no,no,3,45600,yes
832644,sales,middle,high,3,no,no,4,57600,no
260997,sales,middle,medium,5,no,no,3,33600,no
114153,marketing,junior,low,3,no,no,4,16800,no
672533,marketing,middle,medium,3,yes,yes,1,44400,no
453936,purchasing,junior,medium,2,no,no,4,22800,no
741016,technology,junior,medium,1,no,no,4,26400,no
113657,technology,sinior,high,5,yes,no,3,82800,no
458930,sales,middle,low,5,no,no,4,24000,no
999835,sales,junior,low,5,no,no,4,18000,no
120366,hr,middle,low,9,no,no,4,25200,no
212818,technology,junior,medium,4,no,no,5,32400,no
370070,sales,junior,medium,2,no,no,5,25200,no
136510,purchasing,middle,medium,5,no,no,4,39600,no
734272,sales,sinior,low,4,no,no,4,39600,no
468145,technology,junior,medium,2,no,no,3,30000,yes
982346,marketing,junior,medium,3,no,no,3,30000,yes
684985,sales,middle,high,6,no,no,4,54000,no
425551,technology,middle,medium,2,no,no,5,46800,no
157780,sales,junior,low,3,no,no,4,12000,yes
352301,purchasing,middle,low,6,no,no,4,19200,no
540948,technology,junior,low,1,no,no,4,15600,yes
126017,purchasing,middle,high,7,no,no,3,54000,no
124062,purchasing,sinior,medium,5,no,no,3,58800,no
534129,sales,middle,low,5,no,no,2,18000,no
470140,technology,middle,high,4,no,no,3,60000,no
529797,sales,sinior,high,7,no,no,5,66000,no
441369,sales,junior,medium,3,no,no,5,25200,no
256758,sales,junior,low,1,no,no,5,12000,yes
516159,sales,junior,medium,1,no,no,3,27600,yes
411906,technology,junior,low,2,no,yes,4,22800,yes
762239,sales,junior,medium,1,no,no,3,21600,yes
356296,sales,middle,medium,5,no,no,4,38400,no
509330,sales,junior,medium,2,no,no,4,24000,no
894283,marketing,junior,medium,1,no,no,4,24000,no
539953,sales,junior,low,1,no,no,4,18000,yes
366316,purchasing,sinior,medium,8,no,no,5,62400,no
672430,purchasing,middle,low,5,no,yes,3,24000,no
336110,sales,middle,medium,10,no,yes,3,37200,no
480274,technology,junior,medium,3,no,no,4,27600,no
597916,hr,middle,medium,2,no,no,5,39600,no
821568,sales,junior,medium,2,no,no,1,24000,no
187627,sales,middle,low,5,yes,no,4,24000,no
190832,sales,junior,low,1,no,no,4,12000,yes
852217,purchasing,middle,medium,10,no,no,4,45600,yes
203081,technology,middle,low,5,no,no,4,22800,no
910344,marketing,middle,medium,4,no,no,2,40800,no
498622,technology,middle,low,1,no,no,3,21600,yes
433464,purchasing,middle,high,5,no,yes,2,56400,no
512380,purchasing,junior,medium,2,no,yes,1,24000,yes
191535,sales,middle,medium,4,no,no,4,33600,no
600907,sales,junior,medium,2,no,no,3,27600,no
852698,technology,middle,low,5,no,no,3,33600,yes
658361,purchasing,junior,medium,4,no,yes,3,25200,no
498438,technology,junior,medium,4,no,no,4,34800,no
445799,purchasing,junior,medium,3,no,no,2,28800,yes
781190,marketing,junior,medium,1,no,no,4,24000,yes
951716,purchasing,middle,high,4,no,no,3,52800,no
851929,sales,middle,low,5,no,no,4,19200,yes
282979,sales,middle,low,5,no,no,4,24000,yes
579620,marketing,middle,low,6,no,no,4,20400,no
680308,marketing,middle,high,4,no,no,5,62400,no
621746,sales,middle,medium,7,no,yes,3,33600,no
510323,technology,junior,medium,1,no,yes,4,36000,no
831361,technology,middle,high,4,no,yes,4,57600,no
856429,sales,middle,high,3,no,no,4,58800,no
730931,sales,junior,low,1,no,no,3,12000,yes
782326,technology,junior,medium,2,no,no,4,34800,no
593609,hr,junior,medium,3,no,no,2,30000,no
765674,technology,middle,high,4,no,no,3,61200,no
431612,sales,junior,medium,4,no,no,1,24000,no
727638,purchasing,junior,medium,1,no,no,4,22800,yes
877836,technology,sinior,low,9,no,no,4,48000,no
320217,sales,junior,high,2,no,no,4,34800,no
198751,purchasing,junior,low,3,no,no,3,18000,yes
547221,sales,middle,medium,3,no,no,3,43200,no
361924,sales,junior,high,2,no,yes,1,32400,yes
609391,sales,middle,medium,6,no,yes,4,43200,no
171019,hr,junior,medium,2,no,no,5,24000,no
906121,sales,middle,high,4,no,no,4,57600,no
